VALIDACIONS MITJANES DELS FEINERS DEL 1r TRIMESTRE DE 2023 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hora,,,,,,,,,,,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
ANADA,Codi,Núm. ,Nom,Adreça,Localitat,UTMx,UTMy,Distància,Punt de Relleu,Àrea de Transferència,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3225,1,Gornal,"Av. Granvia, s/n",l'Hospitalet de Llobregat,426355.951777456,4578332.65015482,0,,,8,14,28,19,17,19,13,19,26,18,41,30,24,18,11,6,1,0,
,91,2,Av Granvia - Miguel Hernández,"Av. Granvia, s/n",l'Hospitalet de Llobregat,426404.205021107,4578291.64047511,227,,,7,8,10,10,9,12,17,23,28,23,23,31,27,23,18,12,3,0,
,2968,3,Amadeu Torner,Av. Granvia s/n,l'Hospitalet de Llobregat,426711.645127771,4578592.13416830,433,,Pl. Europa,23,7,10,9,10,15,19,33,38,27,31,52,43,34,27,17,4,0,
,472,4,Pl Europa,Av. Gran Via,l'Hospitalet de Llobregat,426927.214244360,4578803.31850009,315,,Pl. Europa,14,23,24,16,18,19,23,21,30,31,36,45,53,37,24,14,6,2,
,2970,5,Av Granvia - Física,Gran Via s/n,l'Hospitalet de Llobregat,427134.348406775,4579010.40456953,297,,,15,29,32,25,22,30,31,30,36,41,43,49,46,49,40,23,7,0,
,185,6,Av Granvia - Bloc I. Cerdà,"Av. Granvia, s/n",l'Hospitalet de Llobregat,427396.843891845,4579282.96942043,378,,,14,43,44,36,33,37,35,32,43,44,36,42,30,24,16,8,4,0,
,2363,7,Gran Via - Radi,"Gran Via Corts Catalanes,120-126",Barcelona,427606.347094912,4579489.65725128,295,Si,Ildefons Cerdà,24,72,71,56,55,58,60,53,76,71,56,64,49,34,22,14,5,0,
,1173,8,Gran Via - Química,"Gran Via Corts Catalanes, 152",Barcelona,427835.774510630,4579722.93624218,343,,Ildefons Cerdà,17,80,82,53,40,41,38,32,47,43,40,52,42,30,22,13,5,0,
,868,9,La Campana,"Gran Via Corts Catalanes, 184",Barcelona,428016.917799513,4579912.46247159,263,,Magòria/La Campana,9,42,46,38,28,32,33,29,32,29,28,34,26,22,15,10,3,0,
,941,10,Gran Via - Mandoni,"Gran Via Corts Catalanes, 218-220",Barcelona,428241.148572738,4580131.97718058,314,,,11,37,52,36,25,25,26,21,26,28,26,29,24,20,14,9,3,0,
,1310,11,Gran Via - Santa Dorotea,"Gran Via Corts Catalanes, 280-282",Barcelona,428488.344331855,4580373.93495012,346,,,10,30,42,32,25,23,23,22,24,27,25,28,25,21,17,9,5,0,
