Codi,,Nom,Adreça,Localitat,UTMx,UTMy,Distància,Punt de Relleu,Àrea de Transferència,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1230,12,Gran Via - Roger de Flor,Gran Via Corts Catalanes 671,Barcelona,431191.753601880,4583066.32956231,401,,,9,38,64,44,37,40,36,40,43,45,54,50,48,40,31,18,9,0
503,13,Metro Tetuan,Gran Via Corts Catalanes 661,Barcelona,430918.961462436,4582799.24611804,412,,Pl. Tetuan,3,14,28,27,23,27,26,33,36,32,28,41,39,30,30,14,8,0
1246,14,Gran Via - Llúria,Gran Via Corts Catalanes 637,Barcelona,430713.941942387,4582598.62957258,287,,Gran Via Centre,5,16,29,29,24,28,30,41,39,28,31,49,43,38,29,17,7,0
1081,15,Gran Via - Pau Claris,Gran Via Corts Catalanes 617,Barcelona,430529.824977278,4582418.11613970,258,,Gran Via Centre,5,19,27,28,26,31,36,49,47,36,37,57,52,44,38,23,9,0
95,16,Gran Via - Balmes,Gran Via Corts Catalanes 587-591,Barcelona,430255.460354910,4582149.65066521,384,,Gran Via Centre,2,14,22,24,24,29,30,37,39,33,35,41,47,42,40,25,13,0
7,17,Pl Universitat,Gran Via Corts Catalanes 585,Barcelona,430044.803043485,4581935.50732156,301,Si,Universitat,2,12,21,20,23,30,32,36,38,32,31,42,43,41,38,25,12,0
167,18,Gran Via - Casanova,Gran Via Corts Catalanes 563,Barcelona,429849.776909943,4581753.47557910,268,,,2,12,20,20,17,18,19,22,20,18,17,25,24,23,19,13,7,0
1468,19,Gran Via - Villarroel,Gran Via Corts Catalanes 531,Barcelona,429674.492930504,4581582.44809391,245,,Metro Urgell,4,14,24,21,18,20,22,24,23,21,22,30,29,26,23,16,8,1
206,20,Gran Via - Calàbria,Gran Via Corts Catalanes 475-477,Barcelona,429386.598446392,4581299.38402944,404,,Metro Rocafort,4,13,24,21,18,19,23,27,25,20,24,29,27,27,24,16,9,1
774,21,Gran Via - Vilamarí,Gran Via Corts Catalanes 413,Barcelona,429083.175951471,4581002.25299098,425,,Metro Rocafort,2,8,15,11,10,12,15,17,15,14,13,16,17,19,16,10,4,1
